Well ID,Avg Pump Difference,Area,Lateral Length,Fluid System,TVD,Development Strategy,DELAYED,BOUND_CODE,PARENT_CODEV_1050_WELL_COUNT,PARENT_IN_ZONE_MIN_HYPOT,PARENT_1050_WELL_COUNT,PARENT_3000_AVG_HYPOT_DIST,PARENT_3000_WELL_COUNT,CODEV_IN_ZONE_MIN_HYPOT,CODEV_1050_WELL_COUNT,CODEV_3000_AVG_HYPOT_DIST,CODEV_3000_AVG_TVD_DIST,CODEV_3000_AVG_WELL_AGE,CODEV_3000_MEDIAN_WELL_AGE,CODEV_3000_WELL_COUNT,Pressure Gradient (psi/ft) new,Soak Time,Avg Open Pressure,SD Open Pressure,Avg Close Pressure,SD Close Pressure
1,-0.93,Acadia,10300,Campbell,10415,Coke,1,11100000,2,1195.286743,2,2071,12,1455,0,1490,4,0,0,1,0.593758088,34,3304.124833,261.7,2719.898438,472.4
2,-8.45,Acadia,10300,Campbell,10415,Coke,1,11100000,2,1195.286743,2,2071,12,1455,0,1490,4,0,0,1,0.597058903,67,3301.199254,255.9,2934.885325,747.4
3,8.7,Arches,11000,Campbell,8470,Orange Crush,0,101111,6,2882.384033,0,2492,6,1783,6,1165,682,4.5,0,11,0.516873265,34,2774.40708,184.8,1589.948673,596.9
4,,Arches,11000,Campbell,10555,Coke,1,11110000,1,1059.568848,0,2378,20,1000,1,1000,4,0,0,1,0.501287232,30,2653.539415,206.7,1304.162878,551.5
6,-4.34,Big Bend,12300,Campbell,10355,Coke,1,11110000,0,2763,0,2464,13,1760,0,2077,1410,21.5,28.5,4,0.565199923,21,2963.567911,232,2063.408619,517.8
7,0.54,Big Bend,12600,Campbell,8120,Orange Crush,1,10101111,4,586.3224487,2,1570,12,600,2,694,177,-0.7,-1,3,0.561294383,34,2814.617107,296.9,2330.939138,471.2
8,66.52,Arches,11000,Campbell,10560,Coke,1,11111000,2,1016,1,2124,32,859,1,1359,29,-0.5,-0.5,2,0.493533848,135,2697.57656,222.9,1975.744979,707.7
9,3.39,Big Bend,12900,Campbell,10345,Coke,1,11111000,1,1010,1,2341,17,1584,0,1606,36,0,0,1,0.56011052,227,2892.427934,248.5,2235.44895,698.1
10,13.78,Canyonlands,10000,Campbell,8335,Mountain Dew,0,10001001,2,2746,0,2678,4,562,2,1556,21,7.1,16,7,0.540762005,21,2763.612613,159.2,1671.514259,287.2
11,56.25,Canyonlands,10000,Campbell,8335,Mountain Dew,0,10001001,2,2746,0,2678,4,562,2,1556,21,7.1,16,7,0.523597524,26,2525.493936,165.6,1097.263009,323.3
12,65.88,Canyonlands,10000,Campbell,8335,Mountain Dew,0,10001001,2,2746,0,2678,4,562,2,1556,21,7.1,16,7,0.519705507,106,2434.963424,319.7,1341.334898,392.3
13,75.57,Canyonlands,10100,Campbell,9090,Orange Crush,0,11110101,5,2727,0,2542,4,914,5,1062,575,-2.1,-0.5,10,0.519913983,47,2446.081885,117.9,2222.396037,650.1
14,43.66,Canyonlands,10100,Campbell,9090,Orange Crush,0,11110101,5,2727,0,2542,4,914,5,1062,575,-2.1,-0.5,10,0.532913717,120,2701.389381,267.6,1665.823009,561.6
15,66.63,Canyonlands,10100,Campbell,9090,Orange Crush,0,11110101,5,2727,0,2542,4,914,5,1062,575,-2.1,-0.5,10,0.523556027,92,2520.10571,145.4,2054.614706,700.4
16,80.58,Carlsbad Caverns,10100,Young,8335,Mountain Dew,0,10001001,2,2746,0,2678,4,562,2,1556,21,7.1,16,7,0.477080938,30,2150.105179,218.2,995.6670335,566.6
17,92.39,Carlsbad Caverns,10100,Young,8335,Mountain Dew,0,10001001,2,2746,0,2678,4,562,2,1556,21,7.1,16,7,0.472648666,25,2046.380523,232,1160.647734,715.4
18,42.91,Canyonlands,10100,Campbell,8335,Mountain Dew,0,10001001,2,2746,0,2678,4,562,2,1556,21,7.1,16,7,0.526571643,34,2405.210273,946.2,890.668334,311.3
19,5.23,Canyonlands,9400,Campbell,8335,Mountain Dew,0,10001001,2,2746,0,2678,4,562,2,1556,21,7.1,16,7,0.54173063,35,2565.229027,242.7,1148.561993,253
20,39.6,Canyonlands,10100,Campbell,8335,Mountain Dew,0,10001001,2,2746,0,2678,4,562,2,1556,21,7.1,16,7,0.527903284,97,2318.39506,166,1121.475183,369.5
22,-1.48,Crater Lake,12700,Campbell,8005,Mountain Dew,1,11011000,4,899,3,1482,7,797,1,1734,180,30.8,50,5,0.548908027,27,2634.323963,161.4,1919.710804,225.3
23,1.96,Crater Lake,12800,Campbell,8020,Coke,1,11111000,1,1268,0,2586,16,910,1,914,12,0,0,1,0.548135939,24,2646.22424,144.6,2127.969411,226.2
24,24.21,Crater Lake,12800,Campbell,8035,Mountain Dew,1,10011000,4,712,3,1553,9,704,1,1719,156,16.3,0,3,0.538487713,97,2704.208252,223.5903015,2075.985764,185.1
25,-0.16,Denali,10300,Campbell,10250,Coke,1,111000,0,1456.176147,0,2382,10,1440,0,1440,3,0,0,1,0.559608477,151,2889.833674,265.1,1210.401539,887.1
26,6.03,Dry Tortugas,12800,Williams,9295,Mountain Dew,1,10001101,4,1832,2,1829,9,542,2,586,277,1,1,2,0.52199256,203,3579.913367,193.1,2522.649904,523.9
27,-5.8,Denali,10600,Campbell,10265,Coke,1,11100000,0,1042.490112,0,1834,8,1440,0,1440,6,0,0,1,0.561943033,44,3136.370858,199.4,2252.870766,799
28,6.66,Denali,10300,Campbell,10250,Coke,1,111000,0,1456.176147,0,2382,10,1440,0,1440,3,0,0,1,0.556785485,209,3087.582724,313.1,1618.171604,577.4
29,117.26,Everglades,10900,Young,8160,Coke,1,10001000,2,616,1,1870,7,569,1,1601,44,5,5,4,0.453435,32,2203.2,155.9,1934.1,678.5
30,43.38,Everglades,10500,Williams,8160,Coke,1,10001000,2,616,1,1870,7,569,1,1601,44,5,5,4,0.480570763,115,2508.920546,155.3,2411.60484,736
31,,Everglades,10900,Williams,8160,Coke,1,10001000,2,616,1,1870,7,569,1,1601,44,5,5,4,0.489194852,105,2641.403093,182.2,2330.649788,712.4
32,-1.7,Glacier,10000,Campbell,8335,Mountain Dew,0,10001001,2,2746,0,2678,4,562,2,1556,21,7.1,16,7,0.563370555,31,3194.020031,175.6,2330.800646,386.8
33,-2.26,Glacier,9800,Campbell,8335,Mountain Dew,0,10001001,2,2746,0,2678,4,562,2,1556,21,7.1,16,7,0.563603648,37,3329.887249,209.8,2980.856098,595.5
34,-2.68,Glacier,9700,Campbell,8335,Mountain Dew,0,10001001,2,2746,0,2678,4,562,2,1556,21,7.1,16,7,0.563778467,96,3327.534621,164,3149.661193,555
