Well ID,Avg Pump Difference,Lateral Length,TVD,PARENT_CODEV_1050_WELL_COUNT,PARENT_IN_ZONE_MIN_HYPOT,PARENT_OUT_ZONE_MIN_HYPOT,PARENT_IN_ZONE_MIN_MAP_DIST,PARENT_OUT_ZONE_MIN_MAP_DIST,PARENT_1050_AVG_WELL_AGE,PARENT_1050_MEDIAN_WELL_AGE,PARENT_1050_WELL_COUNT,PARENT_3000_AVG_HYPOT_DIST,PARENT_3000_AVG_MAP_DIST,PARENT_3000_AVG_TVD_DIST,PARENT_3000_AVG_WELL_AGE,PARENT_3000_MEDIAN_WELL_AGE,PARENT_3000_WELL_COUNT,CODEV_IN_ZONE_MIN_HYPOT,CODEV_OUT_ZONE_MIN_HYPOT,CODEV_IN_ZONE_MIN_MAP_DIST,CODEV_1050_WELL_COUNT,CODEV_3000_AVG_HYPOT_DIST,CODEV_3000_AVG_MAP_DIST,CODEV_3000_AVG_TVD_DIST,CODEV_3000_AVG_WELL_AGE,CODEV_3000_MEDIAN_WELL_AGE,CODEV_3000_WELL_COUNT,Pressure Gradient (psi/ft) new,Soak Time,Avg Open Pressure,SD Open Pressure,Avg Close Pressure,SD Close Pressure
1,-0.93,10300,10415,2,,980,,50,1764,1764,2,2071,1242,1483,1840,1764,12,1455,,1455,0,1490,1490,4,0,0,1,0.593758088,34,3304.124833,261.7,2719.898438,472.4
2,-8.45,10300,10415,2,,980,,50,1764,1764,2,2071,1242,1483,1840,1764,12,1455,,1455,0,1490,1490,4,0,0,1,0.597058903,67,3301.199254,255.9,2934.885325,747.4
3,8.7,11000,8470,6,,1865,,1838,,,0,2492,2394,660,2397,2397.5,6,1783,265,1783,6,1165,812,682,4.5,0,11,0.516873265,34,2774.40708,184.8,1589.948673,596.9
5,19.93,2300,9295,4,1832,540,1823,356,4726,4725.5,2,1829,1786,221,4076,3999,9,542,627,541,2,586,437,277,1,1,2,0.503327426,336,,,,
6,-4.34,12300,10355,0,2763,1232,2763,1,,,0,2464,1850,1426,3454,4066,13,1760,1880,1760,0,2077,1112,1410,21.5,28.5,4,0.565199923,21,2963.567911,232,2063.408619,517.8
7,0.54,12600,8120,4,,632,,4,3408,3407.5,2,1570,1273,792,3561,3715,12,600,263,600,2,694,600,177,-0.7,-1,3,0.561294383,34,2814.617107,296.9,2330.939138,471.2
8,66.52,11000,10560,2,1016,1075,792,149,3656,3656,1,2124,1499,1285,2557,3415,32,859,,858,1,1359,1359,29,-0.5,-0.5,2,0.493533848,135,2697.57656,222.9,1975.744979,707.7
9,3.39,12900,10345,1,1010,1241,1010,20,294,294,1,2341,1700,1362,2900,3716,17,1584,,1584,0,1606,1606,36,0,0,1,0.56011052,227,2892.427934,248.5,2235.44895,698.1
10,13.78,10000,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.540762005,21,2763.612613,159.2,1671.514259,287.2
11,56.25,10000,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.523597524,26,2525.493936,165.6,1097.263009,323.3
12,65.88,10000,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.519705507,106,2434.963424,319.7,1341.334898,392.3
13,75.57,10100,9090,5,2727,2314,2727,2305,,,0,2542,2489,399,387,386.5,4,914,447,914,5,1062,781,575,-2.1,-0.5,10,0.519913983,47,2446.081885,117.9,2222.396037,650.1
14,43.66,10100,9090,5,2727,2314,2727,2305,,,0,2542,2489,399,387,386.5,4,914,447,914,5,1062,781,575,-2.1,-0.5,10,0.532913717,120,2701.389381,267.6,1665.823009,561.6
15,66.63,10100,9090,5,2727,2314,2727,2305,,,0,2542,2489,399,387,386.5,4,914,447,914,5,1062,781,575,-2.1,-0.5,10,0.523556027,92,2520.10571,145.4,2054.614706,700.4
16,80.58,10100,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.477080938,30,2150.105179,218.2,995.6670335,566.6
17,92.39,10100,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.472648666,25,2046.380523,232,1160.647734,715.4
18,42.91,10100,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.526571643,34,2405.210273,946.2,890.668334,311.3
19,5.23,9400,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.54173063,35,2565.229027,242.7,1148.561993,253
20,39.6,10100,8335,2,2746,2418,2746,2412,,,0,2678,2607,432,732,700.5,4,562,1384,562,2,1556,1556,21,7.1,16,7,0.527903284,97,2318.39506,166,1121.475183,369.5
22,-1.48,12700,8005,4,899,413,894,130,4083,3106,3,1482,1422,208,4782,5935,7,797,1350,797,1,1734,1715,180,30.8,50,5,0.548908027,27,2634.323963,161.4,1919.710804,225.3
23,1.96,12800,,1,1268,1405,1268,25,,,0,2586,1504,1889,3300,3835.5,16,910,,910,1,914,914,12,0,0,1,0.548135939,24,2646.22424,144.6,2127.969411,226.2
24,24.21,12800,8035,4,712,420,710,109,4107,3105,3,1553,1499,246,4962,5707,9,704,2882,704,1,1719,1708,156,16.3,0,3,0.538487713,97,,,2075.985764,185.1
25,-0.16,10300,10250,0,,1375,,160,,,0,2382,1467,1737,5907,6499,10,1440,,1440,0,1440,1440,3,0,0,1,0.559608477,151,2889.833674,265.1,1210.401539,887.1
26,6.03,12800,9295,4,1832,540,1823,356,4726,4725.5,2,1829,1786,221,4076,3999,9,542,627,541,2,586,437,277,1,1,2,,203,3579.913367,193.1,2522.649904,523.9
27,-5.8,10600,10265,0,,1292,,139,,,0,1834,838,1554,3475,3475,8,1440,,1440,0,1440,1440,6,0,0,1,0.561943033,44,3136.370858,199.4,2252.870766,799
28,6.66,10300,10250,0,,1375,,160,,,0,2382,1467,1737,5907,6499,10,1440,,1440,0,1440,1440,3,0,0,1,0.556785485,209,3087.582724,313.1,1618.171604,577.4
29,117.26,10900,8160,2,616,2458,610,2424,1025,1025,1,1870,1864,113,790,1025,7,569,,569,1,1601,1601,44,5,5,4,0.453435,32,2203.2,155.9,1934.1,678.5
