Well ID,Avg Pump Difference,Area,Fluid System,Development Strategy,DELAYED,BOUND_CODE,CODEV_POSITION,CODEV_FORMATION_POSITION
1,-0.93,Acadia,Campbell,Coke,1,11100000,Edge,Edge
2,-8.45,Acadia,Campbell,Coke,1,11100000,Edge,Edge
3,8.7,Arches,Campbell,Orange Crush,0,101111,Middle,Edge
5,19.93,Badlands,Campbell,Mountain Dew,1,10001101,Edge,Edge
6,-4.34,Big Bend,Campbell,Coke,1,11110000,Edge,Edge
7,0.54,Big Bend,Campbell,Orange Crush,1,10101111,Edge,Edge
8,66.52,Arches,Campbell,Coke,1,11111000,Edge,Edge
9,3.39,Big Bend,Campbell,Coke,1,11111000,Edge,Edge
10,13.78,Canyonlands,Campbell,Mountain Dew,0,10001001,Middle,Middle
11,56.25,Canyonlands,Campbell,Mountain Dew,0,10001001,Middle,Middle
12,65.88,Canyonlands,Campbell,Mountain Dew,0,10001001,Middle,Middle
13,75.57,Canyonlands,Campbell,Orange Crush,0,11110101,Middle,Edge
14,43.66,Canyonlands,Campbell,Orange Crush,0,11110101,Middle,Edge
15,66.63,Canyonlands,Campbell,Orange Crush,0,11110101,Middle,Edge
16,80.58,Carlsbad Caverns,Young,Mountain Dew,0,10001001,Middle,Middle
17,92.39,Carlsbad Caverns,Young,Mountain Dew,0,10001001,Middle,Middle
18,42.91,Canyonlands,Campbell,Mountain Dew,0,10001001,Middle,Middle
19,5.23,Canyonlands,Campbell,Mountain Dew,0,10001001,Middle,Middle
20,39.6,Canyonlands,Campbell,Mountain Dew,0,10001001,Middle,Middle
22,-1.48,Crater Lake,Campbell,Mountain Dew,1,11011000,Middle,Middle
23,1.96,Crater Lake,Campbell,Coke,1,11111000,Edge,Edge
24,24.21,Crater Lake,Campbell,Mountain Dew,1,10011000,Edge,Edge
25,-0.16,Denali,Campbell,Coke,1,111000,Edge,Edge
26,6.03,Dry Tortugas,Williams,Mountain Dew,1,10001101,Edge,Edge
27,-5.8,Denali,Campbell,Coke,1,11100000,Edge,Edge
28,6.66,Denali,Campbell,Coke,1,111000,Edge,Edge
29,117.26,Everglades,Young,Coke,1,10001000,Edge,Edge
30,43.38,Everglades,Williams,Coke,1,10001000,Edge,Edge
32,-1.7,Glacier,Campbell,Mountain Dew,0,10001001,Middle,Middle
33,-2.26,Glacier,Campbell,Mountain Dew,0,10001001,Middle,Middle
34,-2.68,Glacier,Campbell,Mountain Dew,0,10001001,Middle,Middle
35,-1.31,Everglades,Williams,Coke,1,10001000,Edge,Edge
36,22.29,Grand Canyon,Williams,Coke,1,10001000,Edge,Edge
37,2.02,Everglades,Williams,Coke,1,10001000,Edge,Edge
